match_number,date,opponent,venue,result,margin
1,2009-04-18,Mumbai Indians,Newlands,lost,by 19 runs
5,2009-04-20,Royal Challengers Bangalore,St George's Park,won,by 92 runs
9,2009-04-23,Delhi Daredevils,Kingsmead,lost,by 9 runs
16,2009-04-27,Deccan Chargers,Kingsmead,lost,by 6 wickets
22,2009-04-30,Rajasthan Royals,SuperSport Park,won,by 38 runs
26,2009-05-02,Delhi Daredevils,New Wanderers Stadium,won,by 18 runs
29,2009-05-04,Deccan Chargers,Buffalo Park,won,by 78 runs
34,2009-05-07,Kings XI Punjab,SuperSport Park,won,by 12 runs
37,2009-05-09,Rajasthan Royals,De Beers Diamond Oval,won,by 7 wickets
44,2009-05-14,Royal Challengers Bangalore,Kingsmead,lost,by 2 wickets
47,2009-05-16,Mumbai Indians,St George's Park,won,by 7 wickets
51,2009-05-18,Kolkata Knight Riders,SuperSport Park,lost,by 7 wickets
54,2009-05-20,Kings XI Punjab,Kingsmead,won,by 24 runs
58,2009-05-23,Royal Challengers Bangalore,New Wanderers Stadium,lost,by 6 wickets
