match_number,date,opponent,venue,result,margin
1,2021-04-09,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 2 wickets
6,2021-04-14,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 6 runs
10,2021-04-18,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 38 runs
16,2021-04-22,Rajasthan Royals,"Wankhede Stadium, Mumbai",won,by 10 wickets
19,2021-04-25,Chennai Super Kings,"Wankhede Stadium, Mumbai",lost,by 69 runs
22,2021-04-27,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",won,by 1 runs
26,2021-04-30,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",lost,by 34 runs
31,2021-09-20,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",lost,by 9 wickets
35,2021-09-24,Chennai Super Kings,Sharjah Cricket Stadium,lost,by 6 wickets
39,2021-09-26,Mumbai Indians,Dubai International Cricket Stadium,won,by 54 runs
43,2021-09-29,Rajasthan Royals,Dubai International Cricket Stadium,won,by 7 wickets
48,2021-10-03,Punjab Kings,Sharjah Cricket Stadium,won,by 6 runs
52,2021-10-06,Sunrisers Hyderabad,"Zayed Cricket Stadium, Abu Dhabi",lost,by 4 runs
56,2021-10-08,Delhi Capitals,Dubai International Cricket Stadium,won,by 7 wickets
58,2021-10-11,Kolkata Knight Riders,Sharjah Cricket Stadium,lost,by 4 wickets
