match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
7,2008-04-22,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",4.0,0,35,1,8.75,6,0,1
13,2008-04-27,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",4.0,0,23,1,5.75,9,0,0
17,2008-04-30,Royal Challengers Bangalore,Feroz Shah Kotla,4.0,0,28,0,7.0,7,0,1
20,2008-05-02,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,31,1,7.75,13,0,2
23,2008-05-04,Mumbai Indians,Dr DY Patil Sports Academy,4.0,0,33,3,8.25,10,0,0
28,2008-05-08,Chennai Super Kings,Feroz Shah Kotla,4.0,0,40,2,10.0,7,1,0
33,2008-05-11,Rajasthan Royals,Sawai Mansingh Stadium,2.1,0,35,0,16.15,3,0,2
35,2008-05-13,Kolkata Knight Riders,Eden Gardens,4.0,0,34,2,8.5,8,3,1
43,2008-05-19,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,25,0,6.25,12,1,0
50,2008-05-24,Mumbai Indians,Feroz Shah Kotla,4.0,0,36,4,9.0,11,0,0
57,2008-05-30,Rajasthan Royals,Wankhede Stadium,4.0,0,50,2,12.5,8,1,0
