player,team,role,matches
A Badoni,Lucknow Super Giants,all-rounder,12
A Manohar,Gujarat Titans,batter,6
A Mishra,Lucknow Super Giants,all-rounder,7
A Nortje,Delhi Capitals,all-rounder,10
A Zampa,Rajasthan Royals,all-rounder,6
AD Russell,Kolkata Knight Riders,all-rounder,14
AJ Hosein,Sunrisers Hyderabad,all-rounder,1
AK Markram,Sunrisers Hyderabad,all-rounder,13
AM Rahane,Chennai Super Kings,batter,11
AR Patel,Delhi Capitals,all-rounder,14
AS Joseph,Gujarat Titans,all-rounder,7
AS Roy,Kolkata Knight Riders,all-rounder,4
AT Rayudu,Chennai Super Kings,batter,12
AU Rashid,Sunrisers Hyderabad,all-rounder,2
Abdul Basith,Rajasthan Royals,batter,1
Abdul Samad,Sunrisers Hyderabad,batter,8
Abhishek Sharma,Sunrisers Hyderabad,all-rounder,11
Abishek Porel,Delhi Capitals,batter,4
Akash Deep,Royal Challengers Bangalore,all-rounder,2
Akash Madhwal,Mumbai Indians,bowler,8
Akash Singh,Chennai Super Kings,bowler,6
Aman Hakim Khan,Delhi Capitals,batter,9
Anmolpreet Singh,Sunrisers Hyderabad,batter,4
Anuj Rawat,Royal Challengers Bangalore,batter,7
Arjun Tendulkar,Mumbai Indians,all-rounder,4
Arshad Khan,Mumbai Indians,all-rounder,6
Arshdeep Singh,Punjab Kings,all-rounder,14
Atharva Taide,Punjab Kings,batter,7
Avesh Khan,Lucknow Super Giants,all-rounder,9
B Kumar,Sunrisers Hyderabad,all-rounder,14
B Sai Sudharsan,Gujarat Titans,batter,8
BA Stokes,Chennai Super Kings,all-rounder,2
C Green,Mumbai Indians,all-rounder,16
C Sakariya,Delhi Capitals,all-rounder,2
CJ Jordan,Mumbai Indians,all-rounder,6
CV Varun,Kolkata Knight Riders,all-rounder,14
D Ferreira,Rajasthan Royals,batter,0
D Jansen,Mumbai Indians,bowler,1
D Padikkal,Rajasthan Royals,batter,11
D Pretorius,Chennai Super Kings,bowler,1
D Wiese,Kolkata Knight Riders,all-rounder,3
DA Miller,Gujarat Titans,batter,13
DA Warner,Delhi Capitals,batter,14
DG Nalkande,Gujarat Titans,all-rounder,1
DJ Hooda,Lucknow Super Giants,all-rounder,12
DJ Willey,Royal Challengers Bangalore,all-rounder,4
DL Chahar,Chennai Super Kings,all-rounder,10
DP Conway,Chennai Super Kings,batter,15
DR Sams,Lucknow Super Giants,batter,0
Dhruv Jurel,Rajasthan Royals,batter,11
F du Plessis,Royal Challengers Bangalore,batter,14
Fazalhaq Farooqi,Sunrisers Hyderabad,all-rounder,4
GD Phillips,Sunrisers Hyderabad,all-rounder,5
GJ Maxwell,Royal Challengers Bangalore,all-rounder,14
Gurnoor Brar,Punjab Kings,bowler,1
H Klaasen,Sunrisers Hyderabad,batter,11
H Sharma,Royal Challengers Bangalore,bowler,1
HC Brook,Sunrisers Hyderabad,batter,11
HH Pandya,Gujarat Titans,all-rounder,15
HR Shokeen,Mumbai Indians,all-rounder,8
HV Patel,Royal Challengers Bangalore,all-rounder,13
Harpreet Brar,Punjab Kings,all-rounder,11
Harpreet Singh,Punjab Kings,batter,3
Harshit Rana,Kolkata Knight Riders,all-rounder,6
I Sharma,Delhi Capitals,all-rounder,8
Ishan Kishan,Mumbai Indians,batter,15
J Little,Gujarat Titans,bowler,10
J Yadav,Gujarat Titans,bowler,1
JC Archer,Mumbai Indians,all-rounder,5
JC Buttler,Rajasthan Royals,batter,14
JD Unadkat,Lucknow Super Giants,all-rounder,3
JE Root,Rajasthan Royals,all-rounder,2
JJ Roy,Kolkata Knight Riders,batter,8
JM Sharma,Punjab Kings,batter,14
JO Holder,Rajasthan Royals,all-rounder,8
JP Behrendorff,Mumbai Indians,all-rounder,12
JR Hazlewood,Royal Challengers Bangalore,all-rounder,3
K Gowtham,Lucknow Super Giants,all-rounder,7
K Kartikeya,Mumbai Indians,all-rounder,8
K Khejroliya,Kolkata Knight Riders,bowler,2
K Rabada,Punjab Kings,all-rounder,6
K Yadav,Rajasthan Royals,bowler,2
KD Karthik,Royal Challengers Bangalore,batter,13
KH Pandya,Lucknow Super Giants,all-rounder,15
KK Ahmed,Delhi Capitals,bowler,9
KL Rahul,Lucknow Super Giants,batter,9
KM Asif,Rajasthan Royals,all-rounder,4
KM Jadhav,Royal Challengers Bangalore,batter,1
KR Mayers,Lucknow Super Giants,all-rounder,13
KR Sen,Rajasthan Royals,bowler,2
KS Bharat,Gujarat Titans,batter,0
KS Sharma,Lucknow Super Giants,batter,2
KV Sharma,Royal Challengers Bangalore,all-rounder,7
Kartik Tyagi,Sunrisers Hyderabad,bowler,3
Kuldeep Yadav,Delhi Capitals,all-rounder,14
LH Ferguson,Kolkata Knight Riders,bowler,3
LS Livingstone,Punjab Kings,all-rounder,9
Lalit Yadav,Delhi Capitals,all-rounder,6
Liton Das,Kolkata Knight Riders,batter,1
M Ashwin,Rajasthan Royals,bowler,2
M Jansen,Sunrisers Hyderabad,all-rounder,8
