position,team,played,won,lost,no_result,net_run_rate,points
1,Gujarat Titans,17,11,6,0,0.812,22
2,Chennai Super Kings,16,10,5,1,0.628,21
3,Mumbai Indians,16,9,7,0,0.022,18
4,Lucknow Super Giants,15,8,6,1,-0.03,17
5,Rajasthan Royals,14,7,7,0,0.148,14
6,Royal Challengers Bangalore,14,7,7,0,0.135,14
7,Kolkata Knight Riders,14,6,8,0,-0.244,12
8,Punjab Kings,14,6,8,0,-0.299,12
9,Delhi Capitals,14,5,9,0,-0.808,10
10,Sunrisers Hyderabad,14,4,10,0,-0.59,8
