match_number,date,opponent,catches,stumpings,run_outs
20,2020-10-06,Mumbai Indians,1,0,0
23,2020-10-09,Delhi Capitals,2,0,0
26,2020-10-11,Sunrisers Hyderabad,1,0,0
30,2020-10-14,Delhi Capitals,1,0,0
33,2020-10-17,Royal Challengers Bangalore,1,0,0
37,2020-10-19,Chennai Super Kings,1,0,0
50,2020-10-30,Kings XI Punjab,2,0,0
