match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
4,2020-09-22,Chennai Super Kings,Sharjah Cricket Stadium,4.0,0,37,3,9.25,7,0,0
9,2020-09-27,Kings XI Punjab,Sharjah Cricket Stadium,1.0,0,19,0,19.0,0,0,0
12,2020-09-30,Kolkata Knight Riders,Dubai International Cricket Stadium,1.0,0,6,1,6.0,3,0,0
15,2020-10-03,Royal Challengers Bangalore,Sheikh Zayed Stadium,4.0,0,28,0,7.0,7,0,0
20,2020-10-06,Mumbai Indians,Sheikh Zayed Stadium,2.0,0,13,0,6.5,4,0,0
23,2020-10-09,Delhi Capitals,Sharjah Cricket Stadium,4.0,0,20,1,5.0,10,1,0
26,2020-10-11,Sunrisers Hyderabad,Dubai International Cricket Stadium,4.0,0,35,0,8.75,8,1,0
30,2020-10-14,Delhi Capitals,Dubai International Cricket Stadium,3.0,0,23,0,7.67,5,0,0
33,2020-10-17,Royal Challengers Bangalore,Dubai International Cricket Stadium,4.0,0,30,1,7.5,8,5,1
37,2020-10-19,Chennai Super Kings,Sheikh Zayed Stadium,4.0,0,18,1,4.5,11,0,1
40,2020-10-22,Sunrisers Hyderabad,Dubai International Cricket Stadium,4.0,0,25,0,6.25,6,0,0
45,2020-10-25,Mumbai Indians,Sheikh Zayed Stadium,4.0,0,25,0,6.25,8,0,0
50,2020-10-30,Kings XI Punjab,Sheikh Zayed Stadium,3.0,0,22,0,7.33,6,0,0
54,2020-11-01,Kolkata Knight Riders,Dubai International Cricket Stadium,4.0,0,25,3,6.25,11,1,0
