match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
19,2016-04-24,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,32,21,3,2,152.38,c AB de Villiers b KW Richardson,1
23,2016-04-27,Delhi Daredevils,Feroz Shah Kotla,53,30,5,3,176.67,lbw b Imran Tahir,1
25,2016-04-29,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,63,37,9,1,170.27,b NLTC Perera,1
28,2016-05-01,Kings XI Punjab,Saurashtra Cricket Association Stadium,15,18,1,1,83.33,c Gurkeerat Singh b AR Patel,1
31,2016-05-03,Delhi Daredevils,Saurashtra Cricket Association Stadium,15,14,3,0,107.14,c CH Morris b S Nadeem,1
34,2016-05-06,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1,9,0,0,11.11,c Mustafizur Rahman b B Kumar,1
38,2016-05-08,Kolkata Knight Riders,Eden Gardens,27,18,4,1,150.0,b Shakib Al Hasan,1
44,2016-05-14,Royal Challengers Bangalore,M Chinnaswamy Stadium,7,6,1,0,116.67,b S Aravind,1
51,2016-05-19,Kolkata Knight Riders,Green Park,0,1,0,0,0.0,c RV Uthappa b AS Rajpoot,1
54,2016-05-21,Mumbai Indians,Green Park,37,23,4,2,160.87,not out,5
57,2016-05-24,Royal Challengers Bangalore,M Chinnaswamy Stadium,73,41,5,6,178.05,c V Kohli b YS Chahal,5
59,2016-05-27,Sunrisers Hyderabad,Feroz Shah Kotla,1,3,0,0,33.33,c S Dhawan b BCJ Cutting,6
