match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
23,2016-04-27,Delhi Daredevils,Feroz Shah Kotla,2.0,0,26,0,13.0,1,0,0
31,2016-05-03,Delhi Daredevils,Saurashtra Cricket Association Stadium,2.0,0,12,0,6.0,4,0,0
38,2016-05-08,Kolkata Knight Riders,Eden Gardens,2.0,0,14,1,7.0,5,1,0
44,2016-05-14,Royal Challengers Bangalore,M Chinnaswamy Stadium,1.0,0,13,0,13.0,0,0,0
51,2016-05-19,Kolkata Knight Riders,Green Park,4.0,0,8,4,2.0,18,1,0
54,2016-05-21,Mumbai Indians,Green Park,4.0,0,37,2,9.25,9,2,1
57,2016-05-24,Royal Challengers Bangalore,M Chinnaswamy Stadium,1.0,0,14,0,14.0,1,0,0
59,2016-05-27,Sunrisers Hyderabad,Feroz Shah Kotla,2.0,0,29,1,14.5,2,0,0
