match_number,date,opponent,venue,result,margin
1,2014-04-16,Kolkata Knight Riders,Sheikh Zayed Stadium,lost,by 41 runs
5,2014-04-19,Royal Challengers Bangalore,Dubai International Cricket Stadium,lost,by 7 wickets
13,2014-04-25,Chennai Super Kings,Dubai International Cricket Stadium,lost,by 7 wickets
16,2014-04-27,Delhi Daredevils,Sharjah Cricket Stadium,lost,by 6 wickets
20,2014-04-30,Sunrisers Hyderabad,Dubai International Cricket Stadium,lost,by 15 runs
22,2014-05-03,Kings XI Punjab,Wankhede Stadium,won,by 5 wickets
27,2014-05-06,Royal Challengers Bangalore,Wankhede Stadium,won,by 19 runs
33,2014-05-10,Chennai Super Kings,Wankhede Stadium,lost,by 4 wickets
36,2014-05-12,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",won,by 7 wickets
40,2014-05-14,Kolkata Knight Riders,Barabati Stadium,lost,by 6 wickets
44,2014-05-19,Rajasthan Royals,"Sardar Patel Stadium, Motera",won,by 25 runs
48,2014-05-21,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 7 wickets
51,2014-05-23,Delhi Daredevils,Wankhede Stadium,won,by 15 runs
56,2014-05-25,Rajasthan Royals,Wankhede Stadium,won,by 5 wickets
58,2014-05-28,Chennai Super Kings,Brabourne Stadium,lost,by 7 wickets
