innings,team,wicket_number,player_out,score,over
1,Delhi Capitals,1,PD Salt,0,1.1
1,Delhi Capitals,2,DA Warner,6,2.1
1,Delhi Capitals,3,RR Rossouw,16,3.5
1,Delhi Capitals,4,MK Pandey,22,5.1
1,Delhi Capitals,5,PK Garg,23,5.6
1,Delhi Capitals,6,AR Patel,73,14.6
1,Delhi Capitals,7,Aman Hakim Khan,126,19.3
1,Delhi Capitals,8,RV Patel,130,20.5
2,Gujarat Titans,1,WP Saha,0,1.6
2,Gujarat Titans,2,Shubman Gill,18,4.1
2,Gujarat Titans,3,V Shankar,26,5.6
2,Gujarat Titans,4,DA Miller,32,7.4
2,Gujarat Titans,5,A Manohar,94,18.1
2,Gujarat Titans,6,R Tewatia,122,20.4
