match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2015-04-10,Kings XI Punjab,Maharashtra Cricket Association Stadium,2.0,0,15,0,7.5,6,2,0
9,2015-04-14,Mumbai Indians,"Sardar Patel Stadium, Motera",2.0,0,8,1,4.0,8,0,0
11,2015-04-16,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2.0,0,12,0,6.0,4,0,0
15,2015-04-19,Chennai Super Kings,"Sardar Patel Stadium, Motera",1.0,0,5,0,5.0,4,0,0
18,2015-04-21,Kings XI Punjab,"Sardar Patel Stadium, Motera",2.0,0,13,0,6.5,7,0,0
29,2015-04-29,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,32,1,8.0,12,0,0
32,2015-05-01,Mumbai Indians,Wankhede Stadium,2.0,0,17,0,8.5,2,0,0
36,2015-05-03,Delhi Daredevils,Brabourne Stadium,2.0,0,27,2,13.5,6,3,0
54,2015-05-16,Kolkata Knight Riders,Brabourne Stadium,1.0,0,10,0,10.0,2,0,0
58,2015-05-20,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,1.0,0,1,0,1.0,5,0,0
