innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Rajasthan Royals,1,YBK Jaiswal,24,19,JC Buttler,8,7,32,26
1,Rajasthan Royals,2,SV Samson,10,5,JC Buttler,0,3,10,8
1,Rajasthan Royals,3,R Parag,76,48,SV Samson,49,30,130,78
1,Rajasthan Royals,4,SO Hetmyer,13,5,SV Samson,9,3,24,8
2,Gujarat Titans,1,B Sai Sudharsan,35,29,Shubman Gill,28,21,64,50
2,Gujarat Titans,2,MS Wade,4,6,Shubman Gill,8,5,13,11
2,Gujarat Titans,3,A Manohar,1,2,Shubman Gill,1,1,2,3
2,Gujarat Titans,4,V Shankar,16,10,Shubman Gill,15,10,32,20
2,Gujarat Titans,5,Shubman Gill,20,7,R Tewatia,1,1,22,8
2,Gujarat Titans,6,M Shahrukh Khan,14,8,R Tewatia,9,5,24,13
2,Gujarat Titans,7,Rashid Khan,20,10,R Tewatia,12,5,38,14
2,Gujarat Titans,8,Rashid Khan,4,1,Noor Ahmad,0,0,4,1
