team,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,is_wicket,wicket_kind,player_out
Rajasthan Royals,1,SO Hetmyer,MA Starc,R Parag,0,0,0,,False,,
Rajasthan Royals,2,SO Hetmyer,MA Starc,R Parag,4,0,4,,False,,
Rajasthan Royals,3,SO Hetmyer,MA Starc,R Parag,1,0,1,,False,,
Rajasthan Royals,3,R Parag,MA Starc,SO Hetmyer,4,1,5,noballs,False,,
Rajasthan Royals,4,R Parag,MA Starc,SO Hetmyer,0,0,0,,True,run out,R Parag
Rajasthan Royals,5,SO Hetmyer,MA Starc,YBK Jaiswal,1,0,1,,True,run out,YBK Jaiswal
Delhi Capitals,1,KL Rahul,Sandeep Sharma,T Stubbs,2,0,2,,False,,
Delhi Capitals,2,KL Rahul,Sandeep Sharma,T Stubbs,4,0,4,,False,,
Delhi Capitals,3,KL Rahul,Sandeep Sharma,T Stubbs,1,0,1,,False,,
Delhi Capitals,4,T Stubbs,Sandeep Sharma,KL Rahul,6,0,6,,False,,
