player,team,role,matches
A Ashish Reddy,Sunrisers Hyderabad,all-rounder,10
A Chandila,Rajasthan Royals,all-rounder,8
A Mishra,Sunrisers Hyderabad,all-rounder,17
A Mithun,Royal Challengers Bangalore,all-rounder,1
A Mukund,Royal Challengers Bangalore,batter,1
A Nehra,Delhi Daredevils,all-rounder,10
AA Chavan,Rajasthan Royals,bowler,3
AB Agarkar,Delhi Daredevils,all-rounder,4
AB Dinda,Pune Warriors,all-rounder,13
AB McDonald,Royal Challengers Bangalore,all-rounder,1
AB de Villiers,Royal Challengers Bangalore,batter,14
AC Gilchrist,Kings XI Punjab,all-rounder,13
AD Mascarenhas,Kings XI Punjab,all-rounder,1
AD Mathews,Pune Warriors,all-rounder,11
AD Russell,Delhi Daredevils,all-rounder,3
AG Murtaza,Pune Warriors,all-rounder,3
AJ Finch,Pune Warriors,all-rounder,14
AL Menaria,Rajasthan Royals,batter,1
AM Nayar,Pune Warriors,all-rounder,10
AM Rahane,Rajasthan Royals,batter,18
AN Ahmed,Mumbai Indians,bowler,2
AP Tare,Mumbai Indians,batter,5
AR Patel,Mumbai Indians,batter,0
AS Rajpoot,Chennai Super Kings,all-rounder,2
AT Rayudu,Mumbai Indians,batter,17
Anand Rajan,Sunrisers Hyderabad,bowler,2
Ankit Sharma,Sunrisers Hyderabad,bowler,1
Azhar Mahmood,Kings XI Punjab,all-rounder,11
B Chipli,Delhi Daredevils,batter,1
B Kumar,Pune Warriors,all-rounder,16
B Laughlin,Chennai Super Kings,all-rounder,2
B Lee,Kolkata Knight Riders,all-rounder,3
BA Bhatt,Kings XI Punjab,bowler,2
BAW Mendis,Pune Warriors,all-rounder,3
BB McCullum,Kolkata Knight Riders,batter,1
BB Samantray,Sunrisers Hyderabad,batter,7
BJ Hodge,Rajasthan Royals,all-rounder,14
BJ Rohrer,Delhi Daredevils,all-rounder,8
BMAJ Mendis,Delhi Daredevils,all-rounder,3
Bipul Sharma,Kings XI Punjab,bowler,1
CA Pujara,Royal Challengers Bangalore,batter,4
CH Gayle,Royal Challengers Bangalore,all-rounder,16
CH Morris,Chennai Super Kings,all-rounder,16
CL White,Sunrisers Hyderabad,all-rounder,13
CM Gautam,Delhi Daredevils,batter,3
DA Miller,Kings XI Punjab,batter,12
DA Warner,Delhi Daredevils,batter,16
DB Das,Kolkata Knight Riders,batter,6
DB Ravi Teja,Sunrisers Hyderabad,batter,2
DH Yagnik,Rajasthan Royals,batter,9
DJ Bravo,Chennai Super Kings,all-rounder,18
DJ Hussey,Kings XI Punjab,all-rounder,11
DJG Sammy,Sunrisers Hyderabad,all-rounder,10
DP Nannes,Chennai Super Kings,bowler,5
DPMD Jayawardene,Delhi Daredevils,batter,15
DR Smith,Mumbai Indians,all-rounder,13
DS Kulkarni,Mumbai Indians,bowler,6
DT Christian,Royal Challengers Bangalore,all-rounder,2
DW Steyn,Sunrisers Hyderabad,all-rounder,17
EJG Morgan,Kolkata Knight Riders,batter,13
G Gambhir,Kolkata Knight Riders,batter,16
GB Hogg,Rajasthan Royals,bowler,1
GH Vihari,Sunrisers Hyderabad,all-rounder,17
GJ Maxwell,Mumbai Indians,all-rounder,3
Gurkeerat Singh,Kings XI Punjab,batter,9
Harbhajan Singh,Mumbai Indians,all-rounder,19
Harmeet Singh,Kings XI Punjab,all-rounder,4
I Sharma,Sunrisers Hyderabad,bowler,16
IC Pandey,Pune Warriors,all-rounder,2
IK Pathan,Delhi Daredevils,all-rounder,15
Iqbal Abdulla,Kolkata Knight Riders,all-rounder,5
J Botha,Delhi Daredevils,all-rounder,6
J Syed Mohammad,Royal Challengers Bangalore,all-rounder,4
JA Morkel,Chennai Super Kings,all-rounder,8
JD Unadkat,Royal Challengers Bangalore,all-rounder,13
JDP Oram,Mumbai Indians,bowler,1
JH Kallis,Kolkata Knight Riders,all-rounder,16
JJ Bumrah,Mumbai Indians,bowler,2
JO Holder,Chennai Super Kings,bowler,6
JP Faulkner,Rajasthan Royals,all-rounder,16
K Upadhyay,Pune Warriors,all-rounder,2
KA Pollard,Mumbai Indians,all-rounder,18
KB Arun Karthik,Royal Challengers Bangalore,batter,5
KC Sangakkara,Sunrisers Hyderabad,batter,9
KD Karthik,Mumbai Indians,batter,19
KK Cooper,Rajasthan Royals,all-rounder,14
KK Nair,Royal Challengers Bangalore,batter,2
KL Rahul,Royal Challengers Bangalore,batter,2
KM Jadhav,Delhi Daredevils,batter,10
KV Sharma,Sunrisers Hyderabad,all-rounder,13
KW Richardson,Pune Warriors,all-rounder,3
L Balaji,Kolkata Knight Riders,all-rounder,13
LA Pomersbach,Kings XI Punjab,batter,3
LJ Wright,Pune Warriors,all-rounder,6
LR Shukla,Kolkata Knight Riders,all-rounder,3
LRPL Taylor,Pune Warriors,batter,5
M Kartik,Royal Challengers Bangalore,all-rounder,11
M Manhas,Pune Warriors,batter,2
M Morkel,Delhi Daredevils,all-rounder,10
M Muralitharan,Royal Challengers Bangalore,bowler,6
M Rawat,Pune Warriors,batter,1
M Vijay,Chennai Super Kings,batter,15
M Vohra,Kings XI Punjab,batter,10
MA Agarwal,Royal Challengers Bangalore,batter,5
MC Henriques,Royal Challengers Bangalore,all-rounder,10
MC Juneja,Delhi Daredevils,batter,7
MDKJ Perera,Rajasthan Royals,batter,2
MEK Hussey,Chennai Super Kings,batter,17
MG Johnson,Mumbai Indians,all-rounder,17
MG Neser,Kings XI Punjab,bowler,1
MK Pandey,Pune Warriors,batter,7
MK Tiwary,Kolkata Knight Riders,batter,9
MM Patel,Mumbai Indians,bowler,4
MM Sharma,Chennai Super Kings,all-rounder,15
MN Samuels,Pune Warriors,all-rounder,2
MR Marsh,Pune Warriors,all-rounder,9
MS Bisla,Kolkata Knight Riders,batter,14
MS Dhoni,Chennai Super Kings,batter,16
MS Gony,Kings XI Punjab,all-rounder,8
Mandeep Singh,Kings XI Punjab,batter,14
Mohammed Shami,Kolkata Knight Riders,all-rounder,3
NLTC Perera,Sunrisers Hyderabad,all-rounder,16
NM Coulter-Nile,Mumbai Indians,all-rounder,1
NV Ojha,Delhi Daredevils,batter,2
OA Shah,Rajasthan Royals,batter,2
P Awana,Kings XI Punjab,all-rounder,14
P Dogra,Kolkata Knight Riders,batter,1
P Kumar,Kings XI Punjab,all-rounder,15
P Negi,Delhi Daredevils,bowler,1
P Suyal,Mumbai Indians,bowler,1
PA Patel,Sunrisers Hyderabad,batter,13
PA Reddy,Sunrisers Hyderabad,batter,7
PC Valthaty,Kings XI Punjab,batter,1
PJ Sangwan,Kolkata Knight Riders,all-rounder,2
PP Chawla,Kings XI Punjab,all-rounder,16
PP Ojha,Mumbai Indians,all-rounder,15
PV Tambe,Rajasthan Royals,all-rounder,3
Parvez Rasool,Pune Warriors,all-rounder,2
Q de Kock,Sunrisers Hyderabad,batter,3
R Ashwin,Chennai Super Kings,all-rounder,18
R Bhatia,Kolkata Knight Riders,all-rounder,15
R Dhawan,Mumbai Indians,all-rounder,5
R Dravid,Rajasthan Royals,batter,17
R McLaren,Kolkata Knight Riders,all-rounder,2
R Rampaul,Royal Challengers Bangalore,all-rounder,10
R Sathish,Kings XI Punjab,all-rounder,8
R Sharma,Pune Warriors,all-rounder,11
R Shukla,Rajasthan Royals,all-rounder,3
