position,team,played,won,lost,no_result,net_run_rate,points
1,Mumbai Indians,19,13,6,0,0.336,26
2,Chennai Super Kings,18,12,6,0,0.541,24
3,Rajasthan Royals,18,11,7,0,0.293,22
4,Sunrisers Hyderabad,17,9,7,0,-0.021,18
5,Royal Challengers Bangalore,16,8,6,0,0.457,16
6,Kings XI Punjab,16,8,8,0,0.205,16
7,Kolkata Knight Riders,16,6,10,0,-0.095,12
8,Pune Warriors,16,4,12,0,-1.006,8
9,Delhi Daredevils,16,3,12,0,-0.848,6
