match_number,date,opponent,venue,result,margin
1,2013-04-03,Kolkata Knight Riders,Eden Gardens,lost,by 6 wickets
4,2013-04-06,Rajasthan Royals,Feroz Shah Kotla,lost,by 5 runs
10,2013-04-09,Mumbai Indians,Wankhede Stadium,lost,by 44 runs
14,2013-04-12,Sunrisers Hyderabad,Feroz Shah Kotla,lost,by 3 wickets
21,2013-04-16,Royal Challengers Bangalore,M Chinnaswamy Stadium,no result,
24,2013-04-18,Chennai Super Kings,Feroz Shah Kotla,lost,by 86 runs
28,2013-04-21,Mumbai Indians,Feroz Shah Kotla,won,by 9 wickets
32,2013-04-23,Kings XI Punjab,Feroz Shah Kotla,lost,by 5 wickets
39,2013-04-28,Pune Warriors,Shaheed Veer Narayan Singh International Stadium,won,by 15 runs
44,2013-05-01,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,won,by 7 wickets
48,2013-05-04,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 6 wickets
52,2013-05-07,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 9 wickets
57,2013-05-10,Royal Challengers Bangalore,Feroz Shah Kotla,lost,by 4 runs
64,2013-05-14,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 33 runs
67,2013-05-16,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,lost,by 7 runs
71,2013-05-19,Pune Warriors,Subrata Roy Sahara Stadium,lost,by 38 runs
