innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bengaluru,1,PD Salt,4,1.4
1,Royal Challengers Bengaluru,2,V Kohli,21,3.4
1,Royal Challengers Bengaluru,3,LS Livingstone,26,4.6
1,Royal Challengers Bengaluru,4,JM Sharma,32,6.5
1,Royal Challengers Bengaluru,5,KH Pandya,33,7.1
1,Royal Challengers Bengaluru,6,RM Patidar,41,8.4
1,Royal Challengers Bengaluru,7,MS Bhandage,42,9.2
1,Royal Challengers Bengaluru,8,B Kumar,63,12.4
1,Royal Challengers Bengaluru,9,Yash Dayal,63,12.5
2,Punjab Kings,1,P Simran Singh,22,3.4
2,Punjab Kings,2,Priyansh Arya,32,4.4
2,Punjab Kings,3,SS Iyer,52,8.4
2,Punjab Kings,4,JP Inglis,53,8.6
2,Punjab Kings,5,Shashank Singh,81,12.3
