innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Punjab Kings,1,Priyansh Arya,9,7,P Simran Singh,10,4,19,11
1,Punjab Kings,2,MJ Owen,0,2,P Simran Singh,11,5,15,7
1,Punjab Kings,3,P Simran Singh,0,1,N Wadhera,0,0,0,1
1,Punjab Kings,4,SS Iyer,30,25,N Wadhera,37,19,67,44
1,Punjab Kings,5,Shashank Singh,23,15,N Wadhera,33,18,58,33
1,Punjab Kings,6,Shashank Singh,36,15,Azmatullah Omarzai,21,9,60,24
2,Rajasthan Royals,1,YBK Jaiswal,35,14,V Suryavanshi,40,15,76,29
2,Rajasthan Royals,2,SV Samson,18,12,YBK Jaiswal,15,11,33,23
2,Rajasthan Royals,3,R Parag,3,6,SV Samson,2,4,5,10
2,Rajasthan Royals,4,Dhruv Jurel,20,13,R Parag,10,5,30,18
2,Rajasthan Royals,5,SO Hetmyer,11,12,Dhruv Jurel,21,12,37,24
2,Rajasthan Royals,6,SB Dubey,7,7,Dhruv Jurel,12,6,19,13
2,Rajasthan Royals,7,PWH de Silva,0,1,SB Dubey,0,0,0,1
2,Rajasthan Royals,8,KT Maphaka,8,2,SB Dubey,0,0,9,2
