innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,9,5,Delhi Capitals,RG Sharma,Kuldeep Yadav,HDPK Dharmasena,wicket,struck down,False
1,16,3,Mumbai Indians,SA Yadav,L Ngidi,M Krishnadas,wicket,struck down,False
