innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Sunrisers Hyderabad,death,62,1,30,12.4,7,5
1,Sunrisers Hyderabad,middle,73,3,54,8.11,8,17
1,Sunrisers Hyderabad,powerplay,62,2,36,10.33,11,15
2,Delhi Capitals,death,50,2,30,10.0,5,5
2,Delhi Capitals,middle,81,3,54,9.0,9,11
2,Delhi Capitals,powerplay,57,1,36,9.5,8,10
