innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Rajasthan Royals,death,48,2,30,9.6,6,9
1,Rajasthan Royals,middle,79,2,54,8.78,8,13
1,Rajasthan Royals,powerplay,37,1,36,6.17,5,20
2,Kolkata Knight Riders,death,48,3,30,9.6,7,10
2,Kolkata Knight Riders,middle,67,3,54,7.44,7,19
2,Kolkata Knight Riders,powerplay,27,4,36,4.5,1,18
