innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,8,6,Punjab Kings,DA Warner,HV Patel,NA Patwardhan,wicket,upheld,False
1,14,2,Punjab Kings,RK Bhui,Harpreet Brar,NA Patwardhan,wicket,upheld,False
2,7,2,Delhi Capitals,P Simran Singh,AR Patel,J Madanagopal,wicket,struck down,False
