match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
4,2020-09-22,Chennai Super Kings,Sharjah Cricket Stadium,4.0,0,38,1,9.5,6,0,0
9,2020-09-27,Kings XI Punjab,Sharjah Cricket Stadium,4.0,0,44,0,11.0,4,1,0
12,2020-09-30,Kolkata Knight Riders,Dubai International Cricket Stadium,4.0,0,43,0,10.75,7,0,0
15,2020-10-03,Royal Challengers Bangalore,Sheikh Zayed Stadium,4.0,0,27,1,6.75,5,0,0
20,2020-10-06,Mumbai Indians,Sheikh Zayed Stadium,4.0,0,28,2,7.0,10,0,0
23,2020-10-09,Delhi Capitals,Sharjah Cricket Stadium,2.0,0,23,0,11.5,4,0,0
26,2020-10-11,Sunrisers Hyderabad,Dubai International Cricket Stadium,4.0,0,31,0,7.75,8,0,0
30,2020-10-14,Delhi Capitals,Dubai International Cricket Stadium,4.0,0,31,1,7.75,4,2,0
33,2020-10-17,Royal Challengers Bangalore,Dubai International Cricket Stadium,4.0,0,32,1,8.0,4,1,0
37,2020-10-19,Chennai Super Kings,Sheikh Zayed Stadium,4.0,0,14,1,3.5,12,0,0
40,2020-10-22,Sunrisers Hyderabad,Dubai International Cricket Stadium,4.0,0,32,0,8.0,7,0,0
45,2020-10-25,Mumbai Indians,Sheikh Zayed Stadium,4.0,0,30,2,7.5,8,0,0
50,2020-10-30,Kings XI Punjab,Sheikh Zayed Stadium,1.0,0,10,0,10.0,1,0,0
54,2020-11-01,Kolkata Knight Riders,Dubai International Cricket Stadium,3.0,0,44,1,14.67,4,1,0
