match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2012-04-06,Mumbai Indians,Wankhede Stadium,3.0,0,14,2,4.67,8,0,0
8,2012-04-08,Kings XI Punjab,Subrata Roy Sahara Stadium,3.0,0,23,0,7.67,4,1,1
16,2012-04-14,Chennai Super Kings,Subrata Roy Sahara Stadium,3.0,0,18,0,6.0,10,0,0
24,2012-04-19,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,24,0,6.0,9,0,0
27,2012-04-21,Delhi Daredevils,Feroz Shah Kotla,3.0,0,25,1,8.33,5,1,0
31,2012-04-24,Delhi Daredevils,Subrata Roy Sahara Stadium,4.0,0,26,0,6.5,6,1,0
42,2012-05-01,Deccan Chargers,Barabati Stadium,2.0,0,16,0,8.0,4,0,0
45,2012-05-03,Mumbai Indians,Subrata Roy Sahara Stadium,3.0,0,27,0,9.0,4,1,0
47,2012-05-05,Kolkata Knight Riders,Eden Gardens,4.0,0,22,1,5.5,11,2,0
52,2012-05-08,Rajasthan Royals,Subrata Roy Sahara Stadium,3.0,0,32,0,10.67,8,0,0
60,2012-05-13,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,39,0,9.75,7,2,0
