innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,SP Narine,45,4.2
1,Kolkata Knight Riders,2,G Gambhir,114,12.3
1,Kolkata Knight Riders,3,RV Uthappa,169,19.2
1,Kolkata Knight Riders,4,MK Pandey,184,20.3
1,Kolkata Knight Riders,5,SA Yadav,186,20.5
2,Gujarat Lions,1,AJ Finch,42,4.3
2,Gujarat Lions,2,BB McCullum,73,7.2
2,Gujarat Lions,3,KD Karthik,81,8.2
2,Gujarat Lions,4,Ishan Kishan,115,12.4
2,Gujarat Lions,5,DR Smith,122,13.4
2,Gujarat Lions,6,SK Raina,180,18.5
