innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,DJ Jacobs,14,3.3
1,Mumbai Indians,2,AT Rayudu,109,15.3
1,Mumbai Indians,3,SR Tendulkar,129,17.2
1,Mumbai Indians,4,KA Pollard,144,18.6
1,Mumbai Indians,5,RG Sharma,158,20.5
2,Kings XI Punjab,1,AC Gilchrist,1,1.5
2,Kings XI Punjab,2,PC Valthaty,73,11.5
2,Kings XI Punjab,3,DJ Hussey,79,13.2
2,Kings XI Punjab,4,KD Karthik,83,14.2
2,Kings XI Punjab,5,AM Nayar,113,16.6
2,Kings XI Punjab,6,Bipul Sharma,116,17.4
2,Kings XI Punjab,7,SE Marsh,131,19.5
2,Kings XI Punjab,8,RJ Harris,132,20.1
