match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2015-04-09,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",5,5,0,0,100.0,b IC Pandey,7
6,2015-04-12,Rajasthan Royals,Feroz Shah Kotla,44,38,0,3,115.79,not out,3
10,2015-04-15,Kings XI Punjab,Maharashtra Cricket Association Stadium,21,19,3,0,110.53,run out (AR Patel),3
13,2015-04-18,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,54,41,5,2,131.71,b DW Steyn,3
17,2015-04-20,Kolkata Knight Riders,Feroz Shah Kotla,5,8,1,0,62.5,b SP Narine,3
21,2015-04-23,Mumbai Indians,Feroz Shah Kotla,78,50,3,6,156.0,not out,3
26,2015-04-26,Royal Challengers Bangalore,Feroz Shah Kotla,13,14,2,0,92.86,c KD Karthik b D Wiese,3
36,2015-05-03,Rajasthan Royals,Brabourne Stadium,56,39,3,3,143.59,c DS Kulkarni b JP Faulkner,3
39,2015-05-05,Mumbai Indians,Wankhede Stadium,28,19,3,2,147.37,c & b J Suchith,3
42,2015-05-07,Kolkata Knight Riders,Eden Gardens,25,16,2,1,156.25,c UT Yadav b PP Chawla,3
45,2015-05-09,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,12,16,0,0,75.0,b KV Sharma,3
49,2015-05-12,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,6,7,1,0,85.71,b IC Pandey,3
55,2015-05-17,Royal Challengers Bangalore,M Chinnaswamy Stadium,67,43,4,3,155.81,not out,3
