match_number,date,opponent,catches,stumpings,run_outs
4,2016-04-12,Royal Challengers Bangalore,1,0,0
12,2016-04-18,Mumbai Indians,2,0,1
18,2016-04-23,Kings XI Punjab,2,0,0
22,2016-04-26,Rising Pune Supergiants,1,0,0
27,2016-04-30,Royal Challengers Bangalore,1,0,0
37,2016-05-08,Mumbai Indians,4,0,0
40,2016-05-10,Rising Pune Supergiants,3,0,1
42,2016-05-12,Delhi Daredevils,1,0,0
52,2016-05-20,Delhi Daredevils,1,0,0
55,2016-05-22,Kolkata Knight Riders,2,0,0
60,2016-05-29,Royal Challengers Bangalore,0,0,2
