match_number,date,opponent,catches,stumpings,run_outs
16,2025-04-04,Lucknow Super Giants,1,0,0
29,2025-04-13,Delhi Capitals,0,0,1
33,2025-04-17,Sunrisers Hyderabad,1,0,0
63,2025-05-21,Delhi Capitals,1,0,0
