innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,2,4,Rajasthan Royals,D Padikkal,Mohammed Siraj,KN Ananthapadmanabhan,,struck down,False
2,11,6,Rajasthan Royals,SS Prabhudessai,YS Chahal,BNJ Oxenford,,struck down,False
