innings,team,wicket_number,player_out,score,over
1,Sunrisers Hyderabad,1,Abhishek Sharma,92,7.5
1,Sunrisers Hyderabad,2,TM Head,175,13.4
1,Sunrisers Hyderabad,3,Ishan Kishan,258,19.3
2,Kolkata Knight Riders,1,SP Narine,37,4.3
2,Kolkata Knight Riders,2,AM Rahane,55,6.3
2,Kolkata Knight Riders,3,Q de Kock,61,7.5
2,Kolkata Knight Riders,4,RK Singh,70,8.5
2,Kolkata Knight Riders,5,AD Russell,70,8.6
2,Kolkata Knight Riders,6,A Raghuvanshi,95,13.2
2,Kolkata Knight Riders,7,Ramandeep Singh,110,14.5
2,Kolkata Knight Riders,8,MK Pandey,162,18.3
2,Kolkata Knight Riders,9,VG Arora,162,18.4
2,Kolkata Knight Riders,10,Harshit Rana,168,19.4
