innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Royal Challengers Bangalore,JH Kallis,25,21,3,1,119.05,c KD Karthik b MF Maharoof,1
1,Royal Challengers Bangalore,B Chipli,2,10,0,0,20.0,c R Bhatia b GD McGrath,2
1,Royal Challengers Bangalore,SP Goswami,52,42,7,1,123.81,c TM Dilshan b MF Maharoof,3
1,Royal Challengers Bangalore,R Dravid,9,11,1,0,81.82,b TM Dilshan,4
1,Royal Challengers Bangalore,Misbah-ul-Haq,47,25,2,4,188.0,not out,5
1,Royal Challengers Bangalore,CL White,1,2,0,0,50.0,"run out (MF Maharoof, Shoaib Malik, KD Karthik)",6
1,Royal Challengers Bangalore,B Akhil,3,3,0,0,100.0,"run out (V Sehwag, MF Maharoof)",7
1,Royal Challengers Bangalore,P Kumar,2,5,0,0,40.0,b GD McGrath,8
1,Royal Challengers Bangalore,Z Khan,4,1,1,0,400.0,not out,9
2,Delhi Daredevils,G Gambhir,39,31,6,0,125.81,"run out (CL White, SP Goswami)",1
2,Delhi Daredevils,V Sehwag,47,19,9,1,247.37,c B Chipli b P Kumar,2
2,Delhi Daredevils,AB de Villiers,21,25,1,0,84.0,c SP Goswami b DW Steyn,3
2,Delhi Daredevils,TM Dilshan,4,10,0,0,40.0,st SP Goswami b A Kumble,4
2,Delhi Daredevils,S Dhawan,16,13,1,1,123.08,not out,5
2,Delhi Daredevils,KD Karthik,6,4,1,0,150.0,c CL White b A Kumble,6
2,Delhi Daredevils,MF Maharoof,13,8,1,1,162.5,not out,7
