match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2022-03-27,Mumbai Indians,"Brabourne Stadium, Mumbai",4.0,0,18,3,4.5,8,0,0
10,2022-04-02,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",4.0,0,32,1,8.0,10,0,0
15,2022-04-07,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",3.4,0,31,2,8.45,6,0,0
19,2022-04-10,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",4.0,0,35,4,8.75,8,2,0
27,2022-04-16,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",4.0,0,46,1,11.5,7,3,0
32,2022-04-20,Punjab Kings,"Brabourne Stadium, Mumbai",4.0,0,24,2,6.0,9,0,0
34,2022-04-22,Rajasthan Royals,"Wankhede Stadium, Mumbai",3.0,0,40,0,13.33,3,1,0
41,2022-04-28,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",3.0,0,14,4,4.67,7,0,0
45,2022-05-01,Lucknow Super Giants,"Wankhede Stadium, Mumbai",3.0,0,29,0,9.67,3,0,0
50,2022-05-05,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",4.0,0,40,1,10.0,10,0,0
55,2022-05-08,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",3.0,0,43,0,14.33,4,2,0
58,2022-05-11,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",3.0,0,20,0,6.67,3,0,0
64,2022-05-16,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",3.0,0,14,2,4.67,9,0,0
69,2022-05-21,Mumbai Indians,"Wankhede Stadium, Mumbai",4.0,0,33,1,8.25,9,0,0
