innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,Mohammad Hafeez,7,2.4
1,Kolkata Knight Riders,2,Salman Butt,40,7.4
1,Kolkata Knight Riders,3,DJ Hussey,71,12.5
1,Kolkata Knight Riders,4,SC Ganguly,95,15.4
1,Kolkata Knight Riders,5,DB Das,118,18.3
1,Kolkata Knight Riders,6,LR Shukla,123,18.6
1,Kolkata Knight Riders,7,AB Agarkar,129,19.3
1,Kolkata Knight Riders,8,Umar Gul,142,20.3
2,Rajasthan Royals,1,SA Asnodkar,16,2.6
2,Rajasthan Royals,2,Sohail Tanvir,42,6.2
2,Rajasthan Royals,3,GC Smith,42,6.5
2,Rajasthan Royals,4,SR Watson,69,10.5
