match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
72,2023-05-24,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",4,7,0,0,57.14,c DJ Hooda b Mohsin Khan,8
73,2023-05-26,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2,5,0,0,40.0,c B Sai Sudharsan b MM Sharma,8
