match_number,date,opponent,venue,result,margin
2,2018-04-08,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,lost,by 6 wickets
6,2018-04-11,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 10 runs
9,2018-04-14,Mumbai Indians,Wankhede Stadium,won,by 7 wickets
13,2018-04-16,Kolkata Knight Riders,Eden Gardens,lost,by 71 runs
19,2018-04-21,Royal Challengers Bangalore,M.Chinnaswamy Stadium,lost,by 6 wickets
22,2018-04-23,Kings XI Punjab,Arun Jaitley Stadium,lost,by 4 runs
26,2018-04-27,Kolkata Knight Riders,Arun Jaitley Stadium,won,by 55 runs
30,2018-04-30,Chennai Super Kings,Maharashtra Cricket Association Stadium,lost,by 13 runs
32,2018-05-02,Rajasthan Royals,Arun Jaitley Stadium,won,by 4 runs
36,2018-05-05,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lost,by 7 wickets
42,2018-05-10,Sunrisers Hyderabad,Arun Jaitley Stadium,lost,by 9 wickets
45,2018-05-12,Royal Challengers Bangalore,Arun Jaitley Stadium,lost,by 5 wickets
52,2018-05-18,Chennai Super Kings,Arun Jaitley Stadium,won,by 34 runs
55,2018-05-20,Mumbai Indians,Arun Jaitley Stadium,won,by 11 runs
