match_number,date,opponent,venue,result,margin
3,2010-03-13,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 5 wickets
6,2010-03-15,Rajasthan Royals,"Sardar Patel Stadium, Motera",won,by 6 wickets
9,2010-03-17,Mumbai Indians,Feroz Shah Kotla,lost,by 98 runs
11,2010-03-19,Chennai Super Kings,Feroz Shah Kotla,lost,by 5 wickets
15,2010-03-21,Deccan Chargers,Barabati Stadium,lost,by 10 runs
20,2010-03-25,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 17 runs
26,2010-03-29,Kolkata Knight Riders,Feroz Shah Kotla,won,by 40 runs
29,2010-03-31,Rajasthan Royals,Feroz Shah Kotla,won,by 67 runs
35,2010-04-04,Royal Challengers Bangalore,Feroz Shah Kotla,won,by 37 runs
39,2010-04-07,Kolkata Knight Riders,Eden Gardens,lost,by 14 runs
44,2010-04-11,Kings XI Punjab,Feroz Shah Kotla,lost,by 7 wickets
47,2010-04-13,Mumbai Indians,Brabourne Stadium,lost,by 39 runs
50,2010-04-15,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 6 wickets
55,2010-04-18,Deccan Chargers,Feroz Shah Kotla,lost,by 11 runs
