match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
5,2008-04-20,Royal Challengers Bangalore,Wankhede Stadium,2.4,0,19,1,7.12,8,2,0
8,2008-04-23,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",3.0,0,25,1,8.33,7,0,1
10,2008-04-25,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",4.0,0,37,2,9.25,9,1,1
14,2008-04-27,Deccan Chargers,Dr DY Patil Sports Academy,1.0,0,8,0,8.0,4,0,0
16,2008-04-29,Kolkata Knight Riders,Eden Gardens,3.0,0,15,0,5.0,7,1,0
23,2008-05-04,Delhi Daredevils,Dr DY Patil Sports Academy,2.5,0,18,2,6.35,8,0,1
27,2008-05-07,Rajasthan Royals,Dr DY Patil Sports Academy,3.0,0,21,2,7.0,10,0,0
36,2008-05-14,Chennai Super Kings,Wankhede Stadium,4.0,0,33,3,8.25,13,4,0
50,2008-05-24,Delhi Daredevils,Feroz Shah Kotla,3.0,0,26,0,8.67,6,0,0
55,2008-05-28,Royal Challengers Bangalore,M Chinnaswamy Stadium,3.0,0,34,0,11.33,5,4,1
