innings,team,wicket_number,player_out,score,over
1,Delhi Daredevils,1,RR Pant,11,2.2
1,Delhi Daredevils,2,KK Nair,42,6.3
1,Delhi Daredevils,3,SV Samson,71,10.3
1,Delhi Daredevils,4,SW Billings,81,12.2
1,Delhi Daredevils,5,P Negi,96,15.3
1,Delhi Daredevils,6,CR Brathwaite,98,15.6
1,Delhi Daredevils,7,Q de Kock,107,17.1
1,Delhi Daredevils,8,J Yadav,138,20.6
2,Royal Challengers Bangalore,1,CH Gayle,5,2.1
2,Royal Challengers Bangalore,2,AB de Villiers,17,3.4
2,Royal Challengers Bangalore,3,KL Rahul,83,11.1
2,Royal Challengers Bangalore,4,SR Watson,111,15.6
