match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2024-03-24,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",43,29,1,3,148.28,c DJ Hooda b Naveen-ul-Haq,4
9,2024-03-28,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",84,45,7,6,186.67,not out,4
14,2024-04-01,Mumbai Indians,"Wankhede Stadium, Mumbai",54,39,5,3,138.46,not out,4
19,2024-04-06,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",4,4,1,0,100.0,c V Kohli b Yash Dayal,4
24,2024-04-10,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",76,48,3,5,158.33,c V Shankar b MM Sharma,4
27,2024-04-13,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",23,18,1,1,127.78,c K Rabada b Arshdeep Singh,4
31,2024-04-16,Kolkata Knight Riders,"Eden Gardens, Kolkata",34,14,4,2,242.86,c AD Russell b Harshit Rana,4
44,2024-04-27,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,11,0,1,127.27,c A Badoni b A Mishra,4
50,2024-05-02,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",77,49,8,4,157.14,c M Jansen b PJ Cummins,4
56,2024-05-07,Delhi Capitals,"Arun Jaitley Stadium, Delhi",27,22,1,3,122.73,b Rasikh Salam,4
61,2024-05-12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",47,35,1,3,134.29,not out,4
65,2024-05-15,Punjab Kings,"Barsapara Cricket Stadium, Guwahati",48,34,6,0,141.18,lbw b HV Patel,4
71,2024-05-22,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",36,26,2,2,138.46,b Mohammed Siraj,4
72,2024-05-24,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",6,10,0,0,60.0,c Abhishek Sharma b Shahbaz Ahmed,4
