innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Sunrisers Hyderabad,death,39,2,30,7.8,4,9
1,Sunrisers Hyderabad,middle,49,3,54,5.44,4,20
1,Sunrisers Hyderabad,powerplay,38,1,36,6.33,5,17
2,Pune Warriors,death,45,6,40,6.75,3,13
2,Pune Warriors,middle,32,4,39,4.92,4,22
2,Pune Warriors,powerplay,27,0,34,4.76,1,19
