match_number,opponent,bowler,overs,maidens,runs,wickets,economy,dots
1,Kolkata Knight Riders,A Symonds,4.0,0,26,0,6.5,6
1,Kolkata Knight Riders,Jaskaran Singh,4.0,0,35,1,8.75,9
1,Kolkata Knight Riders,PP Ojha,4.0,0,19,0,4.75,12
1,Kolkata Knight Riders,RP Singh,4.0,0,35,1,8.75,12
1,Kolkata Knight Riders,TL Suman,1.0,0,16,0,16.0,1
1,Kolkata Knight Riders,WPUJC Vaas,3.0,0,22,2,7.33,10
5,Chennai Super Kings,A Symonds,3.0,0,29,2,9.67,4
5,Chennai Super Kings,Jaskaran Singh,1.0,0,16,0,16.0,2
5,Chennai Super Kings,PP Ojha,4.0,0,28,2,7.0,8
5,Chennai Super Kings,RG Sharma,4.0,0,27,1,6.75,10
5,Chennai Super Kings,RP Singh,3.0,0,30,1,10.0,6
5,Chennai Super Kings,TL Suman,1.0,0,8,0,8.0,1
5,Chennai Super Kings,WPUJC Vaas,4.0,1,21,3,5.25,13
12,Kings XI Punjab,A Symonds,4.0,0,22,1,5.5,9
12,Kings XI Punjab,Jaskaran Singh,1.0,0,12,1,12.0,3
12,Kings XI Punjab,PP Ojha,4.0,0,31,1,7.75,7
12,Kings XI Punjab,RG Sharma,3.0,0,19,1,6.33,6
12,Kings XI Punjab,RP Singh,4.0,0,43,1,10.75,11
12,Kings XI Punjab,WPUJC Vaas,4.0,0,27,2,6.75,14
15,Delhi Daredevils,A Symonds,4.0,0,21,3,5.25,9
15,Delhi Daredevils,PP Ojha,4.0,0,36,1,9.0,4
15,Delhi Daredevils,R Sharma,4.0,0,42,2,10.5,4
15,Delhi Daredevils,RG Sharma,1.0,0,7,0,7.0,3
15,Delhi Daredevils,RP Singh,3.0,0,31,0,10.33,6
15,Delhi Daredevils,WPUJC Vaas,4.0,0,21,1,5.25,12
22,Rajasthan Royals,A Symonds,2.0,0,9,0,4.5,7
22,Rajasthan Royals,PP Ojha,3.0,0,40,1,13.33,7
