match_number,date,opponent,venue,result,margin
1,2010-03-12,Kolkata Knight Riders,Dr DY Patil Sports Academy,lost,by 11 runs
5,2010-03-14,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 31 runs
12,2010-03-19,Kings XI Punjab,Barabati Stadium,won,by 6 runs
15,2010-03-21,Delhi Daredevils,Barabati Stadium,won,by 10 runs
22,2010-03-26,Rajasthan Royals,"Sardar Patel Stadium, Motera",lost,by 8 wickets
25,2010-03-28,Mumbai Indians,Dr DY Patil Sports Academy,lost,by 41 runs
30,2010-04-01,Kolkata Knight Riders,Eden Gardens,lost,by 24 runs
33,2010-04-03,Mumbai Indians,Brabourne Stadium,lost,by 63 runs
36,2010-04-05,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",lost,by 2 runs
40,2010-04-08,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 7 wickets
42,2010-04-10,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",won,by 6 wickets
46,2010-04-12,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",won,by 13 runs
51,2010-04-16,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,won,by 5 wickets
55,2010-04-18,Delhi Daredevils,Feroz Shah Kotla,won,by 11 runs
58,2010-04-22,Chennai Super Kings,Dr DY Patil Sports Academy,lost,by 38 runs
59,2010-04-24,Royal Challengers Bangalore,Dr DY Patil Sports Academy,lost,by 9 wickets
