match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
6,2022-03-30,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",27,20,0,3,135.0,st SP Jackson b CV Varun,6
13,2022-04-05,Rajasthan Royals,"Wankhede Stadium, Mumbai",45,26,4,3,173.08,b TA Boult,6
22,2022-04-12,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",41,27,4,0,151.85,b M Theekshana,5
27,2022-04-16,Delhi Capitals,"Wankhede Stadium, Mumbai",32,21,3,1,152.38,not out,6
31,2022-04-19,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",26,22,1,0,118.18,"run out (KL Rahul, JO Holder)",6
36,2022-04-23,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",7,12,1,0,58.33,c N Pooran b Umran Malik,6
39,2022-04-26,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",17,27,0,1,62.96,c R Parag b R Ashwin,5
43,2022-04-30,Gujarat Titans,"Brabourne Stadium, Mumbai",2,2,0,0,100.0,not out,6
49,2022-05-04,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",1,2,0,0,50.0,b M Theekshana,8
60,2022-05-13,Punjab Kings,"Brabourne Stadium, Mumbai",9,14,0,0,64.29,c PBB Rajapaksa b K Rabada,7
73,2022-05-27,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",12,8,1,1,150.0,not out,7
