match_number,date,opponent,catches,stumpings,run_outs
3,2009-04-19,Kings XI Punjab,0,0,1
9,2009-04-23,Chennai Super Kings,1,0,0
18,2009-04-28,Rajasthan Royals,0,1,0
21,2009-04-30,Deccan Chargers,1,0,2
26,2009-05-02,Chennai Super Kings,0,0,1
35,2009-05-08,Mumbai Indians,2,0,2
39,2009-05-10,Kolkata Knight Riders,1,1,0
43,2009-05-13,Deccan Chargers,1,0,0
46,2009-05-15,Kings XI Punjab,1,0,0
50,2009-05-17,Rajasthan Royals,2,2,0
52,2009-05-19,Royal Challengers Bangalore,1,0,0
55,2009-05-21,Mumbai Indians,2,0,0
57,2009-05-22,Deccan Chargers,0,1,0
