innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,Liton Das,15,2.6
1,Kolkata Knight Riders,2,VR Iyer,25,4.3
1,Kolkata Knight Riders,3,N Rana,32,6.2
1,Kolkata Knight Riders,4,Mandeep Singh,50,9.2
1,Kolkata Knight Riders,5,RK Singh,64,11.2
1,Kolkata Knight Riders,6,SP Narine,70,12.2
1,Kolkata Knight Riders,7,JJ Roy,93,15.4
1,Kolkata Knight Riders,8,AS Roy,93,15.5
1,Kolkata Knight Riders,9,UT Yadav,96,16.4
1,Kolkata Knight Riders,10,CV Varun,127,20.6
2,Delhi Capitals,1,PP Shaw,38,5.3
2,Delhi Capitals,2,MR Marsh,62,8.2
2,Delhi Capitals,3,PD Salt,67,9.1
2,Delhi Capitals,4,DA Warner,93,14.1
2,Delhi Capitals,5,MK Pandey,110,16.5
2,Delhi Capitals,6,Aman Hakim Khan,111,17.2
