match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
5,2020-09-23,Mumbai Indians,Sheikh Zayed Stadium,33,12,1,4,275.0,c HH Pandya b JL Pattinson,8
12,2020-09-30,Rajasthan Royals,Dubai International Cricket Stadium,12,10,1,0,120.0,c SV Samson b TK Curran,7
16,2020-10-03,Delhi Capitals,Sharjah Cricket Stadium,5,4,1,0,125.0,c HV Patel b A Nortje,7
21,2020-10-07,Chennai Super Kings,Sheikh Zayed Stadium,17,9,1,1,188.89,not out,8
24,2020-10-10,Kings XI Punjab,Sheikh Zayed Stadium,5,4,0,0,125.0,not out,7
28,2020-10-12,Royal Challengers Bangalore,Sharjah Cricket Stadium,1,3,0,0,33.33,c D Padikkal b CH Morris,8
32,2020-10-16,Mumbai Indians,Sheikh Zayed Stadium,53,36,5,2,147.22,not out,7
39,2020-10-21,Royal Challengers Bangalore,Sheikh Zayed Stadium,4,17,0,0,23.53,c D Padikkal b YS Chahal,7
46,2020-10-26,Kings XI Punjab,Sharjah Cricket Stadium,1,8,0,0,12.5,lbw b Ravi Bishnoi,8
54,2020-11-01,Rajasthan Royals,Dubai International Cricket Stadium,15,11,0,1,136.36,c SV Samson b Kartik Tyagi,8
