match_number,date,opponent,venue,result,margin
4,2019-03-25,Rajasthan Royals,Sawai Mansingh Stadium,won,by 14 runs
6,2019-03-27,Kolkata Knight Riders,Eden Gardens,lost,by 28 runs
9,2019-03-30,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,won,by 8 wickets
13,2019-04-01,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,won,by 14 runs
18,2019-04-06,Chennai Super Kings,MA Chidambaram Stadium,lost,by 22 runs
22,2019-04-08,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,won,by 6 wickets
24,2019-04-10,Mumbai Indians,Wankhede Stadium,lost,by 3 wickets
28,2019-04-13,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,lost,by 8 wickets
32,2019-04-16,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,won,by 12 runs
37,2019-04-20,Delhi Capitals,Arun Jaitley Stadium,lost,by 5 wickets
42,2019-04-24,Royal Challengers Bangalore,M.Chinnaswamy Stadium,lost,by 17 runs
48,2019-04-29,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lost,by 45 runs
52,2019-05-03,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,lost,by 7 wickets
55,2019-05-05,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,won,by 6 wickets
