match_number,date,opponent,catches,stumpings,run_outs
19,2015-04-22,Sunrisers Hyderabad,2,0,0
42,2015-05-07,Delhi Daredevils,1,0,0
44,2015-05-09,Kings XI Punjab,1,0,0
