match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
42,2014-05-18,Chennai Super Kings,JSCA International Stadium Complex,1.0,0,9,0,9.0,1,0,0
53,2014-05-24,Chennai Super Kings,M Chinnaswamy Stadium,1.0,0,7,0,7.0,2,0,0
