innings,team,wicket_number,player_out,score,over
1,Sunrisers Hyderabad,1,Abhishek Sharma,54,4.6
1,Sunrisers Hyderabad,2,TM Head,54,5.2
1,Sunrisers Hyderabad,3,H Klaasen,102,9.5
1,Sunrisers Hyderabad,4,Aniket Verma,145,12.4
1,Sunrisers Hyderabad,5,Nithish Kumar Reddy,164,15.2
1,Sunrisers Hyderabad,6,A Manohar,188,17.6
2,Royal Challengers Bengaluru,1,V Kohli,80,7.6
2,Royal Challengers Bengaluru,2,MA Agarwal,120,11.4
2,Royal Challengers Bengaluru,3,PD Salt,129,12.2
2,Royal Challengers Bengaluru,4,RM Patidar,173,16.4
2,Royal Challengers Bengaluru,5,R Shepherd,174,16.6
2,Royal Challengers Bengaluru,6,JM Sharma,174,17.2
2,Royal Challengers Bengaluru,7,TH David,179,18.4
2,Royal Challengers Bengaluru,8,B Kumar,186,19.1
2,Royal Challengers Bengaluru,9,KH Pandya,187,19.4
2,Royal Challengers Bengaluru,10,Yash Dayal,189,20.5
