innings,team,wicket_number,player_out,score,over
1,Punjab Kings,1,JM Bairstow,17,3.3
1,Punjab Kings,2,P Simran Singh,72,9.5
1,Punjab Kings,3,LS Livingstone,98,12.6
1,Punjab Kings,4,S Dhawan,98,13.1
1,Punjab Kings,5,SM Curran,150,18.5
1,Punjab Kings,6,JM Sharma,154,19.4
2,Royal Challengers Bengaluru,1,F du Plessis,26,3.4
2,Royal Challengers Bengaluru,2,C Green,43,5.4
2,Royal Challengers Bengaluru,3,RM Patidar,86,11.3
2,Royal Challengers Bengaluru,4,GJ Maxwell,103,13.1
2,Royal Challengers Bengaluru,5,V Kohli,130,16.6
2,Royal Challengers Bengaluru,6,Anuj Rawat,130,17.2
