match_number,date,opponent,venue,result,margin
2,2010-03-13,Mumbai Indians,Brabourne Stadium,lost,by 4 runs
6,2010-03-15,Delhi Daredevils,"Sardar Patel Stadium, Motera",lost,by 6 wickets
10,2010-03-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 10 wickets
13,2010-03-20,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",won,by 34 runs
19,2010-03-24,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 31 runs
22,2010-03-26,Deccan Chargers,"Sardar Patel Stadium, Motera",won,by 8 wickets
24,2010-03-28,Chennai Super Kings,"Sardar Patel Stadium, Motera",won,by 17 runs
29,2010-03-31,Delhi Daredevils,Feroz Shah Kotla,lost,by 67 runs
32,2010-04-03,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 23 runs
36,2010-04-05,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",won,by 2 runs
38,2010-04-07,Kings XI Punjab,Sawai Mansingh Stadium,won,by 9 wickets
45,2010-04-11,Mumbai Indians,Sawai Mansingh Stadium,lost,by 37 runs
49,2010-04-14,Royal Challengers Bangalore,Sawai Mansingh Stadium,lost,by 5 wickets
53,2010-04-17,Kolkata Knight Riders,Eden Gardens,lost,by 8 wickets
