innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,12,1,Chennai Super Kings,Navdeep Saini,Imran Tahir,BNJ Oxenford,,upheld,False
1,15,2,Chennai Super Kings,PA Patel,RA Jadeja,AY Dandekar,,struck down,False
