innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bengaluru,1,F du Plessis,48,4.5
1,Royal Challengers Bengaluru,2,WG Jacks,65,7.6
1,Royal Challengers Bengaluru,3,RM Patidar,130,13.4
1,Royal Challengers Bengaluru,4,V Kohli,140,15.5
1,Royal Challengers Bengaluru,5,MK Lomror,161,17.3
1,Royal Challengers Bengaluru,6,KD Karthik,193,19.5
1,Royal Challengers Bengaluru,7,Swapnil Singh,206,20.6
2,Sunrisers Hyderabad,1,TM Head,3,1.6
2,Sunrisers Hyderabad,2,Abhishek Sharma,37,4.4
2,Sunrisers Hyderabad,3,AK Markram,41,5.2
2,Sunrisers Hyderabad,4,H Klaasen,56,5.6
2,Sunrisers Hyderabad,5,Nithish Kumar Reddy,69,8.2
2,Sunrisers Hyderabad,6,Abdul Samad,85,10.1
2,Sunrisers Hyderabad,7,PJ Cummins,124,14.1
2,Sunrisers Hyderabad,8,B Kumar,141,16.5
