innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,G Gambhir,113,13.3
1,Kolkata Knight Riders,2,BB McCullum,115,14.4
1,Kolkata Knight Riders,3,JH Kallis,122,16.2
1,Kolkata Knight Riders,4,YK Pathan,134,19.1
1,Kolkata Knight Riders,5,LR Shukla,141,19.6
2,Pune Warriors,1,MJ Clarke,10,2.1
2,Pune Warriors,2,RV Uthappa,28,4.4
2,Pune Warriors,3,MK Pandey,49,7.4
2,Pune Warriors,4,M Manhas,53,8.4
2,Pune Warriors,5,SPD Smith,55,9.2
2,Pune Warriors,6,SC Ganguly,128,18.4
2,Pune Warriors,7,WD Parnell,131,19.3
2,Pune Warriors,8,AD Mathews,139,20.4
