innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Pune Warriors,AB Dinda,2.0,0,28,0,14.0,3,1,0
1,Pune Warriors,AD Mathews,4.0,0,17,2,4.25,9,0,0
1,Pune Warriors,B Kumar,4.0,0,26,2,6.5,12,4,0
1,Pune Warriors,M Kartik,4.0,0,22,1,5.5,11,2,0
1,Pune Warriors,MJ Clarke,2.0,0,14,0,7.0,4,0,0
1,Pune Warriors,WD Parnell,4.0,0,37,0,9.25,4,1,1
2,Kolkata Knight Riders,Iqbal Abdulla,4.0,0,26,1,6.5,8,1,0
2,Kolkata Knight Riders,JH Kallis,2.0,0,16,1,8.0,3,1,0
2,Kolkata Knight Riders,M de Lange,4.0,0,34,3,8.5,8,2,1
2,Kolkata Knight Riders,R Bhatia,4.0,0,27,1,6.75,5,0,0
2,Kolkata Knight Riders,SP Narine,4.0,1,13,1,3.25,14,0,0
2,Kolkata Knight Riders,YK Pathan,2.0,0,23,0,11.5,5,1,0
