innings,team,wicket_number,player_out,score,over
1,Kochi Tuskers Kerala,1,VVS Laxman,26,4.3
1,Kochi Tuskers Kerala,2,DPMD Jayawardene,28,5.1
1,Kochi Tuskers Kerala,3,BJ Hodge,42,8.4
1,Kochi Tuskers Kerala,4,RA Jadeja,90,16.3
1,Kochi Tuskers Kerala,5,PA Patel,90,16.4
1,Kochi Tuskers Kerala,6,RV Gomez,90,17.1
1,Kochi Tuskers Kerala,7,NLTC Perera,92,17.6
1,Kochi Tuskers Kerala,8,R Vinay Kumar,98,18.5
1,Kochi Tuskers Kerala,9,KM Jadhav,108,20.5
1,Kochi Tuskers Kerala,10,RP Singh,109,20.6
2,Rajasthan Royals,1,R Dravid,71,11.4
2,Rajasthan Royals,2,SR Watson,105,14.5
