match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2009-04-18,Mumbai Indians,Newlands,36,26,1,2,138.46,b SL Malinga,5
5,2009-04-20,Royal Challengers Bangalore,St George's Park,16,14,0,1,114.29,c R Bishnoi b P Kumar,4
9,2009-04-23,Delhi Daredevils,Kingsmead,5,7,0,0,71.43,c KD Karthik b DL Vettori,4
16,2009-04-27,Deccan Chargers,Kingsmead,22,22,1,1,100.0,c Shoaib Ahmed b PP Ojha,4
22,2009-04-30,Rajasthan Royals,SuperSport Park,22,19,0,1,115.79,not out,6
26,2009-05-02,Delhi Daredevils,New Wanderers Stadium,6,7,0,0,85.71,c G Gambhir b DP Nannes,6
29,2009-05-04,Deccan Chargers,Buffalo Park,58,37,6,1,156.76,not out,3
34,2009-05-07,Kings XI Punjab,SuperSport Park,56,27,7,2,207.41,not out,4
44,2009-05-14,Royal Challengers Bangalore,Kingsmead,18,20,1,0,90.0,c & b RE van der Merwe,4
47,2009-05-16,Mumbai Indians,St George's Park,23,22,2,0,104.55,not out,5
51,2009-05-18,Kolkata Knight Riders,SuperSport Park,40,28,4,1,142.86,not out,4
54,2009-05-20,Kings XI Punjab,Kingsmead,2,2,0,0,100.0,b S Sreesanth,5
58,2009-05-23,Royal Challengers Bangalore,New Wanderers Stadium,28,30,0,0,93.33,c R Vinay Kumar b RE van der Merwe,3
