innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Kolkata Knight Riders,1,AM Rahane,5,2,FH Allen,9,8,1,15,10
1,Kolkata Knight Riders,2,A Raghuvanshi,43,30,AM Rahane,36,22,5,84,52
1,Kolkata Knight Riders,3,C Green,4,5,A Raghuvanshi,2,3,0,6,8
1,Kolkata Knight Riders,4,RK Singh,4,7,C Green,2,3,0,6,10
1,Kolkata Knight Riders,5,R Powell,39,24,C Green,26,16,5,70,40
2,Lucknow Super Giants,1,MR Marsh,15,10,AK Markram,22,15,4,41,25
2,Lucknow Super Giants,2,RR Pant,1,1,MR Marsh,0,1,0,1,2
2,Lucknow Super Giants,3,A Badoni,22,15,RR Pant,9,8,0,31,23
2,Lucknow Super Giants,4,N Pooran,13,15,A Badoni,6,6,3,22,20
2,Lucknow Super Giants,5,Abdul Samad,2,4,A Badoni,5,3,2,9,7
2,Lucknow Super Giants,6,MD Choudhary,0,1,A Badoni,21,10,0,21,11
2,Lucknow Super Giants,7,Mohammed Shami,1,3,MD Choudhary,2,5,0,3,8
2,Lucknow Super Giants,8,MD Choudhary,52,21,Avesh Khan,1,3,1,54,24
