match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2022-03-27,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",25,8,1,3,312.5,not out,7
8,2022-04-01,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",9,12,0,1,75.0,not out,8
11,2022-04-03,Chennai Super Kings,"Brabourne Stadium, Mumbai",3,7,0,0,42.86,c DJ Bravo b CJ Jordan,7
16,2022-04-08,Gujarat Titans,"Brabourne Stadium, Mumbai",0,1,0,0,0.0,c Shubman Gill b DG Nalkande,6
23,2022-04-13,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",1,1,0,0,100.0,not out,7
28,2022-04-17,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",13,15,0,1,86.67,c & b Umran Malik,7
