position,team,played,won,lost,no_result,net_run_rate,points
1,Royal Challengers Bengaluru,15,11,4,0,0.635,22
2,Punjab Kings,18,10,6,2,-0.005,22
3,Mumbai Indians,16,9,7,0,1.028,18
4,Gujarat Titans,15,9,6,0,0.172,18
5,Delhi Capitals,15,6,6,2,0.011,14
6,Sunrisers Hyderabad,14,6,7,1,-0.241,13
7,Lucknow Super Giants,14,6,8,0,-0.376,12
8,Kolkata Knight Riders,13,5,7,1,-0.305,11
9,Rajasthan Royals,14,4,9,0,-0.549,8
10,Chennai Super Kings,14,4,10,0,-0.647,8
