player,team,role,matches
A Badoni,Lucknow Super Giants,all-rounder,13
A Kamboj,Chennai Super Kings,all-rounder,8
A Manohar,Sunrisers Hyderabad,batter,5
A Mhatre,Chennai Super Kings,batter,7
A Nortje,Kolkata Knight Riders,bowler,2
A Raghuvanshi,Kolkata Knight Riders,batter,11
A Zampa,Sunrisers Hyderabad,bowler,2
AD Russell,Kolkata Knight Riders,all-rounder,11
AK Markram,Lucknow Super Giants,all-rounder,13
AM Rahane,Kolkata Knight Riders,batter,12
AR Patel,Delhi Capitals,all-rounder,13
AS Roy,Kolkata Knight Riders,all-rounder,1
Abdul Samad,Lucknow Super Giants,all-rounder,12
Abhishek Sharma,Sunrisers Hyderabad,all-rounder,14
Abishek Porel,Delhi Capitals,batter,13
Akash Deep,Lucknow Super Giants,all-rounder,6
Akash Madhwal,Rajasthan Royals,all-rounder,4
Akash Singh,Lucknow Super Giants,bowler,3
Aniket Verma,Sunrisers Hyderabad,batter,12
Arshad Khan,Gujarat Titans,all-rounder,9
Arshdeep Singh,Punjab Kings,all-rounder,16
Ashok Sharma,Rajasthan Royals,batter,0
Ashutosh Sharma,Delhi Capitals,batter,9
Ashwani Kumar,Mumbai Indians,bowler,7
Atharva Taide,Sunrisers Hyderabad,batter,1
Avesh Khan,Lucknow Super Giants,all-rounder,13
Azmatullah Omarzai,Punjab Kings,all-rounder,8
B Kumar,Royal Challengers Bengaluru,all-rounder,14
B Sai Sudharsan,Gujarat Titans,batter,15
BKG Mendis,Gujarat Titans,batter,1
C Bosch,Mumbai Indians,all-rounder,3
C Sakariya,Kolkata Knight Riders,bowler,1
CV Varun,Kolkata Knight Riders,all-rounder,13
D Brevis,Chennai Super Kings,batter,6
D Ferreira,Delhi Capitals,batter,1
D Padikkal,Royal Challengers Bengaluru,batter,10
DA Miller,Lucknow Super Giants,batter,10
DJ Hooda,Chennai Super Kings,all-rounder,6
DL Chahar,Mumbai Indians,all-rounder,14
DP Conway,Chennai Super Kings,batter,6
DS Rathi,Lucknow Super Giants,all-rounder,13
Dhruv Jurel,Rajasthan Royals,batter,13
E Malinga,Sunrisers Hyderabad,bowler,7
F du Plessis,Delhi Capitals,batter,9
Fazalhaq Farooqi,Rajasthan Royals,all-rounder,5
G Coetzee,Gujarat Titans,all-rounder,4
GJ Maxwell,Punjab Kings,all-rounder,7
H Klaasen,Sunrisers Hyderabad,batter,13
HH Pandya,Mumbai Indians,all-rounder,15
HV Patel,Sunrisers Hyderabad,all-rounder,13
Harpreet Brar,Punjab Kings,all-rounder,7
Harsh Dubey,Sunrisers Hyderabad,bowler,3
Harshit Rana,Kolkata Knight Riders,all-rounder,13
Himmat Singh,Lucknow Super Giants,batter,0
I Sharma,Gujarat Titans,bowler,7
Ishan Kishan,Sunrisers Hyderabad,all-rounder,13
J Fraser-McGurk,Delhi Capitals,batter,6
J Overton,Chennai Super Kings,all-rounder,3
JC Archer,Rajasthan Royals,all-rounder,12
JC Buttler,Gujarat Titans,batter,13
JD Unadkat,Sunrisers Hyderabad,bowler,7
JG Bethell,Royal Challengers Bengaluru,batter,2
JJ Bumrah,Mumbai Indians,all-rounder,12
JM Bairstow,Mumbai Indians,batter,2
JM Sharma,Royal Challengers Bengaluru,batter,11
JP Inglis,Punjab Kings,batter,11
JR Hazlewood,Royal Challengers Bengaluru,all-rounder,12
K Kartikeya,Rajasthan Royals,all-rounder,4
K Khejroliya,Gujarat Titans,bowler,1
K Rabada,Gujarat Titans,all-rounder,4
KA Jamieson,Punjab Kings,all-rounder,4
KH Pandya,Royal Challengers Bengaluru,all-rounder,15
KK Ahmed,Chennai Super Kings,all-rounder,14
KK Nair,Delhi Capitals,batter,8
KL Rahul,Delhi Capitals,batter,13
KS Rathore,Rajasthan Royals,batter,1
KT Maphaka,Rajasthan Royals,all-rounder,2
KV Sharma,Mumbai Indians,all-rounder,5
Karim Janat,Gujarat Titans,bowler,1
Kuldeep Yadav,Delhi Capitals,all-rounder,14
L Ngidi,Royal Challengers Bengaluru,all-rounder,2
LH Ferguson,Punjab Kings,all-rounder,4
LS Livingstone,Royal Challengers Bengaluru,all-rounder,9
M Jansen,Punjab Kings,all-rounder,14
M Pathirana,Chennai Super Kings,bowler,12
M Prasidh Krishna,Gujarat Titans,bowler,15
M Shahrukh Khan,Gujarat Titans,all-rounder,11
M Siddharth,Lucknow Super Giants,bowler,2
M Theekshana,Rajasthan Royals,all-rounder,11
M Tiwari,Delhi Capitals,all-rounder,2
MA Agarwal,Royal Challengers Bengaluru,batter,4
MA Starc,Delhi Capitals,all-rounder,12
MJ Owen,Punjab Kings,batter,1
MJ Santner,Mumbai Indians,all-rounder,13
MK Lomror,Gujarat Titans,batter,0
MK Pandey,Kolkata Knight Riders,batter,3
MM Ali,Kolkata Knight Riders,all-rounder,5
MM Sharma,Delhi Capitals,all-rounder,8
MP Breetzke,Lucknow Super Giants,batter,1
MP Stoinis,Punjab Kings,all-rounder,12
MP Yadav,Lucknow Super Giants,bowler,2
MR Marsh,Lucknow Super Giants,batter,13
MS Bhandage,Royal Challengers Bengaluru,batter,1
MS Dhoni,Chennai Super Kings,batter,13
